Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Latest in space,@latestinspace,2024-03-27T17:42:57.000Z,True,"NEWS : The Event Horizon Telescope has captured the first image of our supermassive black hole, Sagittarius A, in polarized light",343,6.7K,49K,2.5M,[],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1421303923202265090/U4LE49Tu_normal.jpg,https://twitter.com/latestinspace/status/1773043041873346622,tweet_id:1773043041873346622
Dexerto,@Dexerto,2024-03-27T22:30:00.000Z,True,There is a game coming out where you have to play it in 2d and 3d at the same time,434,3.3K,51K,3.5M,[],[],[],https://pbs.twimg.com/profile_images/1714301666445402112/5U5myYFv_normal.jpg,https://twitter.com/Dexerto/status/1773115280488583304,tweet_id:1773115280488583304
illuminatibot,@iluminatibot,2024-03-27T08:30:14.000Z,True,,422,3.9K,12K,775K,[],[],[],https://pbs.twimg.com/profile_images/1629966305666187264/zIZNcdrq_normal.jpg,https://twitter.com/iluminatibot/status/1772903944596963381,tweet_id:1772903944596963381
Bitcoin Magazine,@BitcoinMagazine,2024-03-27T19:18:52.000Z,True,"JUST IN: BlackRock CEO Larry Fink says their spot #Bitcoin ETF ""is the fastest growing ETF in the history of ETFs."" ",272,2K,8.2K,797K,['#Bitcoin'],[],['\\U0001f680'],https://pbs.twimg.com/profile_images/1444022922377576453/AzvXYXGr_normal.jpg,https://twitter.com/BitcoinMagazine/status/1773067179677630782,tweet_id:1773067179677630782
Censored Men,@CensoredMen,2024-03-27T16:28:18.000Z,True," Joe Rogan believes Israel is committing genocide and a ""small-scale"" Holocaust in Gaza.",359,4.8K,23K,1.2M,[],[],"['\\U0001f1f5\\U0001f1f8', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1604139530004697090/q3WC_9On_normal.jpg,https://twitter.com/CensoredMen/status/1773024256445571560,tweet_id:1773024256445571560
Jon Cooper,@joncoopertweets,2024-03-27T21:57:01.000Z,True,Sharing this wonderful Sarah Cooper video now for no reason whatsoever. #TrumpBible,247,3.1K,12K,507K,['#TrumpBible'],[],"['\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1700249660152000512/C6-v-1zd_normal.jpg,https://twitter.com/joncoopertweets/status/1773106979751313499,tweet_id:1773106979751313499
Spinnin Backfist,@SpinninBackfist,2024-03-27T19:30:27.000Z,True,,37,817,25K,788K,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1707500553071173632/V5oFqw6-_normal.jpg,https://twitter.com/SpinninBackfist/status/1773070096300134682,tweet_id:1773070096300134682
Dom Lucre | Breaker of Narratives,@dom_lucre,2024-03-27T17:10:17.000Z,True,"BREAKING: Venezuelan migrant influencer who sparked fury with TikTok squatting tips is now a fugitive after fleeing ICE custody, as he posts snotty sobbing clip over being ¡®threatened by very powerful people¡¯ ¡¯his family life being in danger¡¯ ¡®people looking for where he¡¦",6.6K,4.3K,15K,4.8M,[],[],"['\\U0001f525', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1654149181517225990/loa3m-0L_normal.jpg,https://twitter.com/dom_lucre/status/1773034820962062481,tweet_id:1773034820962062481
Shooter McGavin,@ShooterMcGavin_,2024-03-27T16:54:04.000Z,True,Happy Gilmore 2 cast thus far,636,1.1K,18K,2.3M,[],[],[],https://pbs.twimg.com/profile_images/1639261396058644486/yNAFPqeG_normal.jpg,https://twitter.com/ShooterMcGavin_/status/1773030738838852090,tweet_id:1773030738838852090
Jackson Hinkle,@jacksonhinklle,2024-03-28T01:44:12.000Z,True, GET #ErdoganArmsIsrael TRENDING RIGHT NOW!,265,1.2K,3.6K,92K,['#ErdoganArmsIsrael'],[],"['\\U0001f6a8', '\\U0001f1f9\\U0001f1f7', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm_normal.jpg,https://twitter.com/jacksonhinklle/status/1773164154272067922,tweet_id:1773164154272067922
Harjit Sajjan,@HarjitSajjan,2024-03-27T20:42:46.000Z,True,"The cost of rent is often too high, & doesn¡¯t count towards your credit score. 

That¡¯s not right ? and we¡¯re fixing that. 

We¡¯re unlocking the door to the middle class ? and millions of young Canadians.

Most importantly: we¡¯re going to build more homes & apartments than ever.",539,101,264,62K,[],[],[],https://pbs.twimg.com/profile_images/1727041493733687296/-zIqq9Ls_normal.jpg,https://twitter.com/HarjitSajjan/status/1773088292889661920,tweet_id:1773088292889661920
Historic Vids,@historyinmemes,2024-03-27T12:33:00.000Z,True,This restaurant took marketing to the next level,675,15K,133K,6.7M,[],[],[],https://pbs.twimg.com/profile_images/1648334723725361152/ev7V1230_normal.jpg,https://twitter.com/historyinmemes/status/1772965039902949572,tweet_id:1772965039902949572
Why you should have a cat,@ShouldHaveCat,2024-03-27T11:46:19.000Z,True,why are cats like this? ,302,2K,14K,1M,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://twitter.com/ShouldHaveCat/status/1772953293959901469,tweet_id:1772953293959901469
Catturd ¢â,@catturd2,2024-03-28T00:55:26.000Z,True,We conspiracy theorists are about 54-0 right now.,1K,2.3K,16K,297K,[],[],[],https://pbs.twimg.com/profile_images/1043187066832650240/6iaOQ7xL_normal.jpg,https://twitter.com/catturd2/status/1773151880484430039,tweet_id:1773151880484430039
rare insults,@insultsrare,2024-03-27T07:14:26.000Z,True,,235,4.6K,111K,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1524871375831326728/AnvqIDN2_normal.jpg,https://twitter.com/insultsrare/status/1772884871402107310,tweet_id:1772884871402107310
Dont Show Your Cat,@DontShowYourCat,2024-03-27T15:58:00.000Z,True,cats of walmart,17,521,14K,132K,[],[],[],https://pbs.twimg.com/profile_images/1609200036159672324/0wGQ_dpT_normal.jpg,https://twitter.com/DontShowYourCat/status/1773016629669974298,tweet_id:1773016629669974298
Nature is Amazing,@AMAZlNGNATURE,2024-03-27T10:02:36.000Z,True,bro got evicted ,352,4.3K,45K,1.3M,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/992795937574604802/FMGk7GZN_normal.jpg,https://twitter.com/AMAZlNGNATURE/status/1772927190973215134,tweet_id:1772927190973215134
Satan,@s8n,2024-03-27T16:59:25.000Z,True,,162,1.9K,38K,969K,[],[],[],https://pbs.twimg.com/profile_images/1604849378094682112/dFD4OIaO_normal.png,https://twitter.com/s8n/status/1773032085902504408,tweet_id:1773032085902504408
Mario Nawfal,@MarioNawfal,2024-03-28T01:28:37.000Z,True,"ANDREW TATE ON P.DIDDY: YOU CAN RAPE KIDS IF YOU COMPLY WITH THE SYSTEM

""If you're P. Diddy and you f*** people in the ass, and you f*** underage kids that's fine as long as you comply with the system, and know who your owner is.

But if you're like me, and you refuse to bow or¡¦",182,854,3.8K,547K,[],[],[],https://pbs.twimg.com/profile_images/1670905743619268609/pYItlWat_normal.jpg,https://twitter.com/MarioNawfal/status/1773160229573685299,tweet_id:1773160229573685299
Wall Street Silver,@WallStreetSilv,2024-03-27T14:30:00.000Z,True,,204,2.2K,6.9K,173K,[],[],"['\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1482179968083836928/7prxRZ4M_normal.jpg,https://twitter.com/WallStreetSilv/status/1772994484118368759,tweet_id:1772994484118368759
illuminatibot,@iluminatibot,2024-03-27T13:45:01.000Z,True,"Slavery was never abolished.

It was expanded to include everyone.",225,1.5K,6.7K,155K,[],[],[],https://pbs.twimg.com/profile_images/1629966305666187264/zIZNcdrq_normal.jpg,https://twitter.com/iluminatibot/status/1772983164324946388,tweet_id:1772983164324946388
Simon Ateba,@simonateba,2024-03-27T17:02:14.000Z,True,YOUR REACTION: Jon Stewart found to have overvalued his NYC home by 829% after slamming Trump¡¯s civil case as ¡®not victimless¡¯ https://trib.al/haJ6Gmw,2.1K,11K,32K,1.3M,[],[],[],https://pbs.twimg.com/profile_images/1589885579331780608/oaiNs7c3_normal.jpg,https://twitter.com/simonateba/status/1773032796086284617,tweet_id:1773032796086284617
Jackson Hinkle,@jacksonhinklle,2024-03-27T21:12:35.000Z,True," America¡¯s most famous Rabbi claims 1 ISRAELI soldier¡¯s life is equal to 35 AMERICAN soldiers¡¯ lives.

DISGUSTING!",1.6K,6K,15K,1M,[],[],"['\\U0001f6a8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm_normal.jpg,https://twitter.com/jacksonhinklle/status/1773095799783596207,tweet_id:1773095799783596207
non aesthetic things,@PicturesFoIder,2024-03-27T14:30:20.000Z,True,Thoughts?,4.6K,904,7.8K,4.8M,[],[],[],https://pbs.twimg.com/profile_images/989513875124117504/UNMIb20k_normal.jpg,https://twitter.com/PicturesFoIder/status/1772994569543520631,tweet_id:1772994569543520631
Censored Men,@CensoredMen,2024-03-27T19:22:43.000Z,True, Rabbi Shmuley asks if Alex Jones hates Jews because they have better sex than him.,816,1.1K,7.2K,941K,[],[],"['\\U0001f6a8', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1604139530004697090/q3WC_9On_normal.jpg,https://twitter.com/CensoredMen/status/1773068148595437665,tweet_id:1773068148595437665
The Babylon Bee,@TheBabylonBee,2024-03-27T21:15:02.000Z,True,DeSantis Kicked Out Of Republican Party For Accomplishing Too Many Things https://buff.ly/3vwBQ97,670,4.2K,29K,1M,[],[],[],https://pbs.twimg.com/profile_images/1400100770624720898/-HC7kL5x_normal.jpg,https://twitter.com/TheBabylonBee/status/1773096412776948173,tweet_id:1773096412776948173
Libs of TikTok,@libsoftiktok,2024-03-27T22:12:48.000Z,True,"BREAKING: Natalie Pershall, a man pretending to be a woman was just sentenced to 6 years probation, 87 days in jail, and must register as a s*x offender for taking pictures of females in the women's bathroom of his company's office.

This is what happens when you have ""inclusive""¡¦",1.8K,11K,32K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1489097242321428482/sQSUN_M6_normal.jpg,https://twitter.com/libsoftiktok/status/1773110954282139712,tweet_id:1773110954282139712
DiedSuddenly,@DiedSuddenly_,2024-03-27T13:40:10.000Z,True,"The story of how John D Rockefeller banned natural medicine in the Western world and created a monopoly that now forces tens of millions of people to poison themselves daily.

Shocking.",241,6.6K,12K,469K,[],[],[],https://pbs.twimg.com/profile_images/1577762653904199681/WKcpSrnf_normal.jpg,https://twitter.com/DiedSuddenly_/status/1772981942545236457,tweet_id:1772981942545236457
Visegrad 24,@visegrad24,2024-03-27T21:41:35.000Z,True,Migrants fighting at the Charles de Gaulle Airport in Paris in an effort to stop another migrant from getting deported from France,1K,3.5K,10K,991K,[],[],['\\U0001f1eb\\U0001f1f7'],https://pbs.twimg.com/profile_images/1496244011044155402/2l00Uki5_normal.jpg,https://twitter.com/visegrad24/status/1773103095288852854,tweet_id:1773103095288852854
Dr. Anastasia Maria Loupis,@DrLoupis,2024-03-27T09:00:59.000Z,True,Is it clear who the victims are?,4.1K,38K,109K,2.6M,[],[],[],https://pbs.twimg.com/profile_images/1446232529959374851/DfGV1gzn_normal.jpg,https://twitter.com/DrLoupis/status/1772911685960929439,tweet_id:1772911685960929439
Hurt CoPain,@SaeedDiCaprio,2024-03-27T15:16:02.000Z,False,¡°this isn¡¯t g¬Ñz¬Ñ¡±¡¦so you¡¯re saying this should only happen to p¬Ñlestinians??,321,12K,62K,681K,[],[],[],https://pbs.twimg.com/profile_images/1707391588211544065/1cxh4g4C_normal.jpg,https://twitter.com/SaeedDiCaprio/status/1773006069372957025,tweet_id:1773006069372957025
Creepy.org,@creepydotorg,2024-03-27T20:36:30.000Z,True,What scene from a horror movie still haunts you to this day?,1.5K,2.9K,37K,7.9M,[],[],[],https://pbs.twimg.com/profile_images/1688591964730540036/CYneV1tu_normal.jpg,https://twitter.com/creepydotorg/status/1773086716586258755,tweet_id:1773086716586258755
Defiant L¡¯s,@DefiantLs,2024-03-27T17:35:20.000Z,True,,337,2.2K,21K,311K,[],[],[],https://pbs.twimg.com/profile_images/1428167484406964229/Q8fS7M5X_normal.jpg,https://twitter.com/DefiantLs/status/1773041125973975216,tweet_id:1773041125973975216
Massimo,@Rainmaker1973,2024-03-27T12:55:00.000Z,True,"Rally is the only sport where fans can turn into mechanics in 5 minutes

[ Greenstranger2]",187,4.8K,55K,8M,[],[],['\\U0001f4f9'],https://pbs.twimg.com/profile_images/914888589670043654/KVvwjcWA_normal.jpg,https://twitter.com/Rainmaker1973/status/1772970576648552899,tweet_id:1772970576648552899
juju,@ayeejuju,2024-03-27T14:08:26.000Z,True,hasan having a mental breakdown in his discord cuz no one watches his streams anymore ,694,767,34K,2.1M,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1587176262094626816/C2dyZYPs_normal.jpg,https://twitter.com/ayeejuju/status/1772989059205316815,tweet_id:1772989059205316815
Concerned Citizen,@BGatesIsaPyscho,2024-03-27T17:48:04.000Z,True,"UK Train Stabbing  Disturbing clip 

Hate sharing these - but people & the world truly need to see & understand how quickly our Society is degrading beyond all recognisability. 

Stay safe everyone.",342,1.3K,2.8K,352K,[],[],"['\\U0001f6a8', '\\U0001f1ec\\U0001f1e7', '\\u203c\\ufe0f', '\\u203c\\ufe0f']",https://pbs.twimg.com/profile_images/1534905804368879621/R5xYZeL5_normal.jpg,https://twitter.com/BGatesIsaPyscho/status/1773044328794931651,tweet_id:1773044328794931651
I Smoked Ronna Romney McGoebbels,@BlackKnight10k,2024-03-27T13:15:18.000Z,True,"Joe Rogan: Jan 6 was a conspiracy to take down Trump

Bro we took him down in November of 2020 with 81 million votes. Why would Nancy Pelosi and Chuck Shumer attack themselves to stop the certification of Biden's win?

Dude has millions of listeners and no brain",1.1K,4.9K,27K,358K,[],[],[],https://pbs.twimg.com/profile_images/1593240492392652802/y57droTf_normal.jpg,https://twitter.com/BlackKnight10k/status/1772975684865958080,tweet_id:1772975684865958080
Wide Awake Media,@wideawake_media,2024-03-27T12:38:21.000Z,True,"""I cannot think of a more dangerous initiative than this.""

Nigel Farage remarks on the recent call by unelected EU head, Ursula von der Leyen, for world leaders to roll out digital ID, CBDCs and a cashless society?globally?by 2030.

""If we're not careful, we head towards a¡¦",577,4.6K,7.7K,418K,[],[],[],https://pbs.twimg.com/profile_images/1624380673933934592/sKyPr3FE_normal.jpg,https://twitter.com/wideawake_media/status/1772966388568637774,tweet_id:1772966388568637774
Kurrco,@Kurrco,2024-03-27T16:04:28.000Z,True,"CAMILA CABELLO
PLAYBOI CARTI
 
I LUV IT

OUT NOW ",859,6.5K,25K,7M,[],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1484975847488602116/LmLcW5v-_normal.jpg,https://twitter.com/Kurrco/status/1773018260297953337,tweet_id:1773018260297953337
TaraBull,@TaraBull808,2024-03-27T22:05:49.000Z,True,"BREAKING: Donald Trump to fly to New York to honor Officer Jonathan Diller. 

He called the slain NYPD officer's widow personally to facilitate paying off her mortgage alongside Tunnels to Towers.

The media doesn't want you to know this.

Officer Diller is survived by his wife¡¦",865,12K,37K,989K,[],[],[],https://pbs.twimg.com/profile_images/1575977223797952512/lDUcgkJy_normal.jpg,https://twitter.com/TaraBull808/status/1773109193295442142,tweet_id:1773109193295442142
PeterSweden,@PeterSweden7,2024-03-27T14:29:12.000Z,True,"HUGE NEWS

The Louisiana senate just passed a bill that would BAN any rules or mandates from the World Health Organization, the World Economic Forum and the UN from being enforced in the state.

Do you support this?",429,3.3K,14K,184K,[],[],['\\U0001f4aa'],https://pbs.twimg.com/profile_images/1689406782647500800/2EBrCIZx_normal.jpg,https://twitter.com/PeterSweden7/status/1772994284775457197,tweet_id:1772994284775457197
Cernovich,@Cernovich,2024-03-27T17:15:16.000Z,True,Jon Stewart found to have overvalued his NYC home by 829%,272,3.4K,12K,320K,[],[],[],https://pbs.twimg.com/profile_images/1592236348890443776/S9Wff_5O_normal.jpg,https://twitter.com/Cernovich/status/1773036077252800640,tweet_id:1773036077252800640
Kevin Sorbo,@ksorbs,2024-03-27T13:32:26.000Z,True,,2.9K,4.8K,17K,430K,[],[],[],https://pbs.twimg.com/profile_images/973666854995599361/A_xzZ5Qv_normal.jpg,https://twitter.com/ksorbs/status/1772979995767341388,tweet_id:1772979995767341388
Angela Belcamino,@AngelaBelcamino,2024-03-27T21:38:00.000Z,True,How does this make you feel?,5.3K,769,9.5K,431K,[],[],[],https://pbs.twimg.com/profile_images/1373495827235287042/UAonWeXy_normal.jpg,https://twitter.com/AngelaBelcamino/status/1773102193513500750,tweet_id:1773102193513500750
Dom Lucre | Breaker of Narratives,@dom_lucre,2024-03-27T16:12:15.000Z,True,"DEVELOPING: Sean Diddy Combs son was spotted getting intimate with his girlfriend during Homeland Security¡¯s Investigation. Agents raided the rapper¡¯s home on Monday, Christian Combs was seen unbothered while kissing his girlfriend in a video. The 25-year-old¡¯s girlfriend,¡¦",678,889,5.3K,6.7M,[],[],"['\\U0001f525', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1654149181517225990/loa3m-0L_normal.jpg,https://twitter.com/dom_lucre/status/1773020218127761692,tweet_id:1773020218127761692
Harjit Sajjan,@HarjitSajjan,2024-03-27T20:54:32.000Z,True,"Le cout du loyer est souvent trop eleve et n'est pas pris en compte dans le calcul de votre cote de credit. 

Ce n'est pas juste - et nous y remedions. 

Nous ouvrons la porte a la classe moyenne a des millions de jeunes Canadiens.",35,22,61,42K,[],[],[],https://pbs.twimg.com/profile_images/1727041493733687296/-zIqq9Ls_normal.jpg,https://twitter.com/HarjitSajjan/status/1773091254097604728,tweet_id:1773091254097604728
Historic Vids,@historyinmemes,2024-03-27T23:49:00.000Z,True,This is every employee's dream,258,914,8.1K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1648334723725361152/ev7V1230_normal.jpg,https://twitter.com/historyinmemes/status/1773135160730345907,tweet_id:1773135160730345907
Why you should have a cat,@ShouldHaveCat,2024-03-27T17:01:52.000Z,True,cat accidentally pressed the turbo button,167,2.5K,28K,2.7M,[],[],[],https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://twitter.com/ShouldHaveCat/status/1773032703803203663,tweet_id:1773032703803203663
Dont Show Your Cat,@DontShowYourCat,2024-03-27T18:14:00.000Z,True,placemat,5,146,1.8K,26K,[],[],[],https://pbs.twimg.com/profile_images/1609200036159672324/0wGQ_dpT_normal.jpg,https://twitter.com/DontShowYourCat/status/1773050855198994439,tweet_id:1773050855198994439
Nature is Amazing,@AMAZlNGNATURE,2024-03-27T15:53:29.000Z,True,"If you've never seen a reindeer posing under an aurora before, today is your day.",240,3.5K,20K,488K,[],[],[],https://pbs.twimg.com/profile_images/992795937574604802/FMGk7GZN_normal.jpg,https://twitter.com/AMAZlNGNATURE/status/1773015494032798198,tweet_id:1773015494032798198
Jackson Hinkle,@jacksonhinklle,2024-03-27T15:35:38.000Z,True, Joe Rogan condemns ISRAEL for committing a GENOCIDE in GAZA!,392,4.3K,21K,1.8M,[],[],"['\\U0001f6a8', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm_normal.jpg,https://twitter.com/jacksonhinklle/status/1773011003510227350,tweet_id:1773011003510227350
Catturd ¢â,@catturd2,2024-03-27T18:03:52.000Z,True,"Just hours after the bridge collapsed.

FBI - accident
Mayor - accident
Governor- accident 
Biden regime - accident.

Me - thanks, now I¡¯m positive it wasn¡¯t an accident.",2.5K,9.3K,40K,2.2M,[],[],[],https://pbs.twimg.com/profile_images/1043187066832650240/6iaOQ7xL_normal.jpg,https://twitter.com/catturd2/status/1773048306274373683,tweet_id:1773048306274373683
illuminatibot,@iluminatibot,2024-03-27T04:02:50.000Z,True,PizzaGate Sicko's,274,4.9K,11K,785K,[],[],[],https://pbs.twimg.com/profile_images/1629966305666187264/zIZNcdrq_normal.jpg,https://twitter.com/iluminatibot/status/1772836654761566400,tweet_id:1772836654761566400
Censored Men,@CensoredMen,2024-03-27T20:12:29.000Z,True," Alex Jones calls Rabbi Shmuley ""Rabbi Buttplug"".

""I'm not as good at doing lap dances on my grandchildren"" Jones told Shmuley.",333,2.1K,14K,1.1M,[],[],"['\\U0001f6a8', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1604139530004697090/q3WC_9On_normal.jpg,https://twitter.com/CensoredMen/status/1773080673969955302,tweet_id:1773080673969955302
rare insults,@insultsrare,2024-03-27T13:00:01.000Z,True,the laugh reacts ,235,2.8K,75K,1.7M,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1524871375831326728/AnvqIDN2_normal.jpg,https://twitter.com/insultsrare/status/1772971838156804487,tweet_id:1772971838156804487
Dr. Anastasia Maria Loupis,@DrLoupis,2024-03-27T18:51:55.000Z,True,Alex Jones just asked the rabbi if he has a butt plug inserted during the interview,469,2.2K,14K,1.1M,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1446232529959374851/DfGV1gzn_normal.jpg,https://twitter.com/DrLoupis/status/1773060399438434733,tweet_id:1773060399438434733
Pelham,@Resist_05,2024-03-27T21:19:52.000Z,True,Aerial footage shows the Zionists have destroyed the whole of Gaza¡¦ this is ethnic cleansing on a scale the world has never witnessed in its history¡¦,606,4.3K,6.1K,100K,[],[],"['\\U0001f1f5\\U0001f1f8', '\\U0001f494']",https://pbs.twimg.com/profile_images/1649589511314345985/KrtRjhqX_normal.jpg,https://twitter.com/Resist_05/status/1773097629930385626,tweet_id:1773097629930385626
Wide Awake Media,@wideawake_media,2024-03-27T12:40:30.000Z,True,"""What happens when you exceed your carbon limit, and you discover that your ability to buy and sell is suddenly cut off?"" 

Australian senator, Ralph Babet, implores all freedom-minded people to resist the imposition of digital ID and CBDCs. 

""We will resist the push to digitise¡¦",131,2.9K,5.8K,149K,[],[],[],https://pbs.twimg.com/profile_images/1624380673933934592/sKyPr3FE_normal.jpg,https://twitter.com/wideawake_media/status/1772966929583497646,tweet_id:1772966929583497646
Wall Street Silver,@WallStreetSilv,2024-03-27T23:29:54.000Z,True,"""So a 20 year old can't have alcohol""

""But a 5 year old can pick their gender?

Make it make sense  ",96,1.2K,5.3K,99K,[],[],"['\\U0001f921', '\\U0001f30e']",https://pbs.twimg.com/profile_images/1482179968083836928/7prxRZ4M_normal.jpg,https://twitter.com/WallStreetSilv/status/1773130356780130435,tweet_id:1773130356780130435
The Babylon Bee,@TheBabylonBee,2024-03-27T17:36:06.000Z,True,Diddy Hired As New President Of Nickelodeon Studios https://buff.ly/3TAFqqL,270,2.3K,16K,902K,[],[],[],https://pbs.twimg.com/profile_images/1400100770624720898/-HC7kL5x_normal.jpg,https://twitter.com/TheBabylonBee/status/1773041319843074546,tweet_id:1773041319843074546
Heatdaddy,@heatdaddy69420,2024-03-27T20:05:05.000Z,True,Ovechkin rocks,61,259,6.6K,451K,[],[],[],https://pbs.twimg.com/profile_images/1762725672697679872/XE9zOOov_normal.jpg,https://twitter.com/heatdaddy69420/status/1773078809660543376,tweet_id:1773078809660543376
The Vigilant Fox,@VigilantFox,2024-03-27T18:14:43.000Z,True,"Joe Rogan Drops Great Question

¡°Isn¡¯t it weird that you can just lie to people, and you could force people to take things, and you could hide the side effects, and you can¡¯t sue them?¡±

Vaccines are the ONLY product that you can¡¯t sue the manufacturers directly.

This is¡¦",292,7.2K,20K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1657046545265557504/7wQ3wrAv_normal.jpg,https://twitter.com/VigilantFox/status/1773051037659636154,tweet_id:1773051037659636154
Juanita Broaddrick,@atensnut,2024-03-27T13:32:01.000Z,True,Has anybody checked Martha¡¯s Vineyard?,1.5K,4.7K,19K,291K,[],[],[],https://pbs.twimg.com/profile_images/1312545540694069250/uFTgY5Zb_normal.jpg,https://twitter.com/atensnut/status/1772979891413090479,tweet_id:1772979891413090479
Libs of TikTok,@libsoftiktok,2024-03-27T19:58:23.000Z,True,"SCOOP: An assignment at  instructed students to roam around their school looking for examples of gender inequity.

The assignment also asks students to find evidence of ""the patriarchy"" outside of school life.

I'm told parents were really upset when they found out.

We¡¦",535,2.1K,6.8K,434K,[],['@lsehs'],[],https://pbs.twimg.com/profile_images/1489097242321428482/sQSUN_M6_normal.jpg,https://twitter.com/libsoftiktok/status/1773077125022507453,tweet_id:1773077125022507453
non aesthetic things,@PicturesFoIder,2024-03-27T12:00:44.000Z,True,Oh my¡¦,920,2.9K,37K,8.3M,[],[],[],https://pbs.twimg.com/profile_images/989513875124117504/UNMIb20k_normal.jpg,https://twitter.com/PicturesFoIder/status/1772956920342618279,tweet_id:1772956920342618279
"Mueller, She Wrote",@MuellerSheWrote,2024-03-27T13:46:09.000Z,False,"When fascism comes to America, it will be wrapped in the flag and carrying a cross. 

I didn¡¯t think it would be so literal.",75,9.4K,33K,431K,[],[],[],https://pbs.twimg.com/profile_images/1648778452127088640/cUM-ttHC_normal.jpg,https://twitter.com/MuellerSheWrote/status/1772983449671909463,tweet_id:1772983449671909463
Visegrad 24,@visegrad24,2024-03-27T18:52:46.000Z,True,"BREAKING:

The Ukrainian Army has launched a major attack on Russian positions in the Russian city of Belgorod tonight.

Civilians can be seen running on the streets in desperate attempts to find air raid shelters.

Shouldn¡¯t have invaded Ukraine¡¦",879,2.1K,16K,908K,[],[],[],https://pbs.twimg.com/profile_images/1496244011044155402/2l00Uki5_normal.jpg,https://twitter.com/visegrad24/status/1773060613918363773,tweet_id:1773060613918363773
Arnaud Bertrand,@RnaudBertrand,2024-03-27T23:35:26.000Z,True,"This US official who just resigned from the State Dept confirmed the US is ""aware of plenty of evidence that Israel was violating international law"", and that ""the Biden administration was violating US law by continuing to supply weapons.""

Rogue state.",75,3.1K,5.1K,92K,[],[],[],https://pbs.twimg.com/profile_images/1387256201293959168/3h5yYupT_normal.jpg,https://twitter.com/RnaudBertrand/status/1773131749033165184,tweet_id:1773131749033165184
Viva Frei,@thevivafrei,2024-03-27T14:24:30.000Z,True,"It¡¯s impossible to overstate how atrocious this decision is.

It is basically a license to kill.

The court accepted as fact that the woman seeking death is autistic and has cognitive impairments as a result.

She had applied for death twice before, and twice before had a split¡¦",113,710,1.9K,68K,[],[],[],https://pbs.twimg.com/profile_images/1490459550511730689/Rvv7WOBu_normal.jpg,https://twitter.com/thevivafrei/status/1772993101008658504,tweet_id:1772993101008658504
Benny Johnson,@bennyjohnson,2024-03-28T00:01:44.000Z,True,"Why are American taxpayers paying for a new bridge in Baltimore?

Shouldn¡¯t the *ahem* private company responsible for the destruction of the bridge be made to pay?

Taxpayer PAID for the first bridge.

Foreign corporation destroys it.

Now taxpayers pay for a new bridge?

Uh WTF",1.1K,2.3K,10K,284K,[],[],[],https://pbs.twimg.com/profile_images/1628474658583457793/KRPfh8Zb_normal.jpg,https://twitter.com/bennyjohnson/status/1773138365447102470,tweet_id:1773138365447102470
Concerned Citizen,@BGatesIsaPyscho,2024-03-27T11:46:00.000Z,True," Australia Passes Digital ID Bill

The WEF 2030 Agenda accelerates down under as the Australian Government passes the digital ID bill.

Listen to Senator Babet explain. 

Australians are one step closer to Social credit/Co2 scores, CBDC¡¯s & vaccine passports all in one handy¡¦",328,3.2K,4.7K,370K,[],[],"['\\U0001f6a8', '\\U0001f1e6\\U0001f1fa']",https://pbs.twimg.com/profile_images/1534905804368879621/R5xYZeL5_normal.jpg,https://twitter.com/BGatesIsaPyscho/status/1772953213550854217,tweet_id:1772953213550854217
